body_id,mass,x,y,total_fx,total_fy,total_moment,force_residual,moment_residual
0,1.019732,-3.005018,0.259014,0.000000,-0.000000,0.000000,4.712155e-12,3.421249e-12
1,1.073235,-2.013759,0.243120,-0.000000,-0.000000,-0.000000,6.230410e-12,1.289987e-12
2,1.093982,-0.995955,0.254161,-0.000000,-0.000000,0.000000,6.376058e-12,1.090378e-12
3,0.936681,0.013298,0.244247,0.000000,-0.000000,0.000000,5.804207e-12,3.550847e-12
4,0.958246,0.992170,0.250495,-0.000000,-0.000000,-0.000000,4.897981e-12,2.871836e-12
5,0.973272,2.004474,0.242790,0.000000,-0.000000,0.000000,5.092625e-12,1.498360e-12
6,1.002847,2.998243,0.255704,0.000000,-0.000000,-0.000000,4.817091e-12,1.061207e-12
7,0.934105,-2.496303,0.715929,0.047131,-9.168809,-0.014308,9.168930e+00,1.430804e-02
8,1.061679,-1.517398,0.733978,-0.003482,-9.974031,0.195283,9.974031e+00,1.952831e-01
9,0.988030,-0.507815,0.716953,-0.001904,-9.894859,0.010631,9.894859e+00,1.063098e-02
10,1.081864,0.484882,0.724904,-0.029317,-10.025836,-0.281609,1.002588e+01,2.816085e-01
11,1.004014,1.490351,0.728250,0.010822,-9.733118,-0.060946,9.733124e+00,6.094619e-02
12,1.055027,2.501868,0.718697,0.064596,-9.974717,-0.207611,9.974926e+00,2.076108e-01
13,1.084375,-1.482420,1.207897,0.217552,-10.076733,-0.161084,1.007908e+01,1.610839e-01
14,0.965066,-0.516460,1.193920,-0.051849,-9.881180,-0.005142,9.881316e+00,5.142334e-03
15,0.971351,0.495547,1.195427,-0.041412,-9.813267,0.152565,9.813355e+00,1.525649e-01
16,1.060439,1.491237,1.200854,-0.082444,-9.756651,-0.144018,9.756999e+00,1.440178e-01
17,0.939743,-1.517018,1.684738,-0.137557,-9.902212,0.021869,9.903167e+00,2.186923e-02
18,1.045801,-0.519779,1.681309,-0.153641,-9.856566,0.115270,9.857764e+00,1.152701e-01
19,0.923174,0.510851,1.666481,0.093668,-9.709619,-0.016302,9.710071e+00,1.630172e-02
20,0.912712,1.514524,1.677466,0.101069,-9.758783,-0.099015,9.759306e+00,9.901511e-02
21,1.027511,-0.507561,2.146504,-0.022156,-9.831782,0.120765,9.831807e+00,1.207647e-01
22,1.042649,0.515489,2.149444,0.104973,-9.790467,-0.000266,9.791030e+00,2.659703e-04
23,0.998759,-0.489569,2.626226,-0.052204,-9.859842,0.050827,9.859980e+00,5.082749e-02
24,0.921578,0.500909,2.623551,-0.063844,-9.746911,0.048741,9.747121e+00,4.874129e-02
