contact_id,body1_id,body2_id,px,py,nx,ny,tx,ty,f_normal,f_tangent_x,f_tangent_y,f_tangent_mag,v_tangent,classification,cone_status
37,10,15,0.999735,0.956678,0.577233,0.816579,-0.816579,0.577233,0.000003,0.000001,-0.000001,0.000001,0.000000,near-cone,within-cone
38,10,16,0.989280,0.960163,-0.605414,0.795911,-0.795911,-0.605414,0.000000,0.000013,0.000010,0.000016,0.000000,sticking,within-cone
39,11,12,1.999855,0.457191,0.774231,-0.632904,0.632904,0.774231,0.000003,0.000003,0.000003,0.000004,0.000000,near-cone,at-cone
40,11,12,1.992827,0.956872,-0.176905,-0.984228,0.984228,-0.176905,0.000000,0.000007,-0.000001,0.000007,0.000000,sticking,within-cone
41,11,15,0.999320,0.974808,0.309734,-0.950823,0.950823,0.309734,0.004600,0.002206,0.000719,0.002320,0.000000,near-cone,at-cone
42,11,16,1.988455,0.950929,-0.342619,-0.939474,0.939474,-0.342619,0.000016,0.000072,-0.000026,0.000077,0.000000,near-cone,at-cone
43,11,16,0.988866,0.978293,-0.558554,-0.829468,0.829468,-0.558554,0.101486,0.042143,-0.028379,0.050807,0.000000,near-cone,at-cone
44,12,16,1.986312,0.939008,-0.592595,-0.805501,0.805501,-0.592595,0.340410,0.137142,-0.100893,0.170257,0.000000,near-cone,at-cone
45,13,14,-1.003653,0.964856,-0.996256,0.086449,-0.086449,-0.996256,0.000000,-0.000000,-0.000003,0.000003,0.000000,sticking,within-cone
46,13,14,-0.994735,1.464586,-0.983577,0.180487,-0.180487,-0.983577,0.000000,-0.000000,-0.000002,0.000002,0.000000,sticking,within-cone
47,13,17,-0.997645,1.455610,-0.871705,-0.490031,0.490031,-0.871705,0.121933,0.029882,-0.053156,0.060979,0.000000,near-cone,at-cone
48,13,17,-1.997435,1.437105,-0.621200,-0.783652,0.783652,-0.621200,0.373209,0.146241,-0.115925,0.186615,0.000000,near-cone,at-cone
49,14,15,-0.012154,0.925288,0.972995,0.230825,-0.230825,0.972995,0.000000,0.000000,-0.000000,0.000000,0.000000,sticking,within-cone
50,14,15,-0.009006,1.424894,-0.650392,0.759599,-0.759599,-0.650392,0.180713,0.068627,0.058761,0.090347,0.000000,near-cone,at-cone
51,14,17,-1.007488,1.457416,-0.308412,-0.951253,0.951253,-0.308412,0.146592,0.069719,-0.022604,0.073291,0.000000,near-cone,at-cone
52,14,18,-0.010163,1.431318,-0.401349,0.915925,-0.915925,-0.401349,0.000000,0.000016,0.000007,0.000018,0.000000,sticking,within-cone
53,14,18,-1.009540,1.443706,-0.213659,-0.976908,0.976908,-0.213659,0.000005,0.000034,-0.000007,0.000035,0.000000,near-cone,at-cone
54,14,19,0.000875,1.422256,0.979742,0.200262,-0.200262,0.979742,0.000000,0.000001,-0.000005,0.000005,0.000000,sticking,within-cone
55,15,16,0.993039,0.965480,-0.948693,0.316199,-0.316199,-0.948693,0.000000,-0.000001,-0.000003,0.000003,0.000000,sticking,within-cone
56,15,16,0.993797,1.465184,0.889635,0.456672,-0.456672,0.889635,0.000024,0.000011,-0.000021,0.000023,0.000000,near-cone,at-cone
57,15,18,-0.013557,1.435281,-0.177366,0.984145,-0.984145,-0.177366,0.000003,0.000023,0.000004,0.000023,0.000000,near-cone,at-cone
58,15,19,-0.002519,1.426220,0.966167,-0.257919,0.257919,0.966167,0.005158,-0.000669,-0.002507,0.002595,0.000000,near-cone,at-cone
59,15,20,0.998714,1.448841,0.670804,-0.741635,0.741635,0.670804,0.000010,-0.000018,-0.000016,0.000024,0.000000,near-cone,at-cone
60,16,20,2.005058,1.425895,0.602362,-0.798223,0.798223,0.602362,0.507726,-0.202688,-0.152954,0.253924,0.000000,near-cone,at-cone
61,16,20,1.005451,1.452300,0.288093,-0.957602,0.957602,0.288093,0.522586,-0.250273,-0.075294,0.261353,0.000000,near-cone,at-cone
62,17,18,-1.012450,1.434731,-0.147989,-0.988989,0.988989,-0.147989,0.000000,0.000019,-0.000003,0.000019,0.000000,sticking,within-cone
63,17,18,-1.024426,1.934585,-0.030513,-0.999534,0.999534,-0.030513,0.000012,0.000042,-0.000001,0.000042,0.000000,near-cone,at-cone
64,18,19,-0.003676,1.432644,0.772946,-0.634472,0.634472,0.772946,0.317199,-0.100662,-0.122631,0.158655,0.000000,near-cone,at-cone
65,18,19,-0.005309,1.932565,0.909387,-0.415952,0.415952,0.909387,0.000000,-0.000016,-0.000034,0.000037,0.000000,sticking,within-cone
